# 0e174869-c966-4513-a129-0407d6183bc9
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.9748192; 0.4396650; 1.3113999; -0.4013014; 4.7292772; 2.5759501
0.0998211; -1.0706520; 0.4671426; 1.2718935; -0.3912534; 4.7833389; 2.5891631
0.1996422; -1.1653944; 0.4983559; 1.2333482; -0.3816019; 4.8370691; 2.6023729
0.2994633; -1.2589421; 0.5331772; 1.1957156; -0.3724747; 4.8904786; 2.6119888
0.3992844; -1.3511905; 0.5714786; 1.1589394; -0.3639776; 4.9435052; 2.6149540
0.4991055; -1.4420224; 0.6131262; 1.1229620; -0.3561975; 4.9960283; 2.6086636
0.5989266; -1.5311210; 0.6578787; 1.0878110; -0.3488981; 5.0478806; 2.5987092
0.6987476; -1.6186550; 0.7057295; 1.0533561; -0.3418851; 5.0990107; 2.5896299
0.7985687; -1.7045576; 0.7565695; 1.0195630; -0.3352322; 5.1494572; 2.5789231
0.8983898; -1.7887623; 0.8102894; 0.9863930; -0.3290019; 5.1992087; 2.5644149
0.9982109; -1.8711827; 0.8667660; 0.9538110; -0.3233372; 5.2482127; 2.5417367
1.0980320; -1.9515765; 0.9257567; 0.9217877; -0.3189760; 5.2963360; 2.4898239
1.1978531; -2.0300950; 0.9873080; 0.8901687; -0.3148982; 5.3430561; 2.4377164
1.2976742; -2.1066831; 1.0513320; 0.8589235; -0.3111366; 5.3884060; 2.3839238
1.3974953; -2.1812859; 1.1177405; 0.8280202; -0.3077192; 5.4323891; 2.3271496
1.4973164; -2.2538300; 1.1864277; 0.7974323; -0.3046854; 5.4749839; 2.2658072
1.5971375; -2.3241396; 1.2571770; 0.7671716; -0.3021076; 5.5161399; 2.1973475
1.6969586; -2.3923141; 1.3300445; 0.7371401; -0.2998349; 5.5557612; 2.1261697
1.7967797; -2.4583039; 1.4049493; 0.7073076; -0.2978821; 5.5938319; 2.0514909
1.8966008; -2.5220591; 1.4818106; 0.6776432; -0.2962612; 5.6303215; 1.9726606
1.9964219; -2.5835205; 1.5605352; 0.6481207; -0.2948241; 5.6651872; 1.8942087
2.0962429; -2.6425881; 1.6409637; 0.6188141; -0.2925778; 5.6984656; 1.8480762
2.1960640; -2.6992935; 1.7230993; 0.5897114; -0.2906188; 5.7307472; 1.7970667
2.2958851; -2.7536015; 1.8068589; 0.5607848; -0.2889601; 5.7619644; 1.7406777
2.3957062; -2.8054763; 1.8921597; 0.5320051; -0.2876124; 5.7920417; 1.6785046
2.4955273; -2.8548821; 1.9789178; 0.5033443; -0.2863954; 5.8208975; 1.6166404
2.5953484; -2.9017848; 2.0670452; 0.4748644; -0.2841853; 5.8485551; 1.5933313
2.6951695; -2.9461670; 2.1564647; 0.4465937; -0.2822280; 5.8756866; 1.5641285
2.7949906; -2.9880097; 2.2470931; 0.4185070; -0.2805372; 5.9021995; 1.5286340
2.8948117; -3.0272938; 2.3388475; 0.3905784; -0.2791250; 5.9279962; 1.4865276
2.9946328; -3.0640049; 2.4316565; 0.3627786; -0.2778752; 5.9529751; 1.4420305
3.0944539; -3.0981479; 2.5255021; 0.3351205; -0.2760594; 5.9771065; 1.4211294
3.1942750; -3.1296840; 2.6202317; 0.3076394; -0.2744565; 6.0007933; 1.3948375
3.2940961; -3.1586060; 2.7157670; 0.2803137; -0.2730784; 6.0239512; 1.3628322
3.3939172; -3.1849066; 2.8120297; 0.2531212; -0.2719356; 6.0464921; 1.3248580
3.4937382; -3.2085836; 2.9089629; 0.2260325; -0.2710595; 6.0683247; 1.2798903
3.5935593; -3.2296491; 3.0065958; 0.1989864; -0.2705314; 6.0893419; 1.2250895
3.6933804; -3.2480632; 3.1047295; 0.1719923; -0.2701956; 6.1093915; 1.1665491
3.7932015; -3.2638186; 3.2032917; 0.1450309; -0.2700563; 6.1284220; 1.1041845
3.8930226; -3.2769075; 3.3022098; 0.1180825; -0.2701161; 6.1463809; 1.0379743
3.9928437; -3.2873248; 3.4014343; 0.0911214; -0.2703129; 6.1632152; 0.9703672
4.0926648; -3.2950684; 3.5009902; 0.0641277; -0.2703431; 6.1789116; 0.9129627
4.1924859; -3.3001207; 3.6006921; 0.0371316; -0.2705043; 6.1936430; 0.8538506
4.2923070; -3.3024787; 3.7004733; 0.0101185; -0.2707965; 6.2073890; 0.7930622
4.3921281; -3.3021394; 3.8002674; -0.0169264; -0.2712185; 6.2201292; 0.7306845
4.4919492; -3.2990994; 3.9000121; -0.0440198; -0.2718802; 6.2318443; 0.6624980
4.5917703; -3.2933528; 3.9996541; -0.0712198; -0.2731797; 6.2424471; 0.5732480
4.6915914; -3.2848915; 4.0991037; -0.0985580; -0.2746402; 6.2516070; 0.4826067
4.7914124; -3.2737068; 4.1982895; -0.1260512; -0.2762513; 6.2593082; 0.3910940
4.8912335; -3.2597897; 4.2971405; -0.1537153; -0.2780006; 6.2655421; 0.2992863
