# f702f2bd-bbc9-4842-9654-5a3775353057
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.8625793; -3.6280249; 2.7705795; 0.3917556; 4.6584279; -3.3111848
0.0996080; 4.8282988; -3.7217052; 2.8117016; 0.4329943; 4.5870807; -2.6448269
0.1992160; 4.7981217; -3.8166959; 2.8569954; 0.4760827; 4.5292845; -1.9292645
0.2988240; 4.7725110; -3.9129052; 2.9065959; 0.5203365; 4.4866555; -1.1634240
0.3984320; 4.7519300; -4.0102415; 2.9605794; 0.5646514; 4.4607516; -0.3974424
0.4980400; 4.7368432; -4.1086039; 3.0189246; 0.6054757; 4.4518679; -0.3974424
0.5976480; 4.7276295; -4.2075970; 3.0784199; 0.5917339; 4.4429665; -0.0766536
0.6972560; 4.7242551; -4.3071152; 3.1368055; 0.5813738; 4.4412476; 0.1370385
0.7968640; 4.7266531; -4.4067561; -3.0887952; 0.5745823; 4.4443201; 0.2547662
0.8964720; 4.7347565; -4.5061171; -3.0316923; 0.5714836; 4.4500263; 0.2859492
0.9960800; 4.7485009; -4.6048115; -2.9747387; 0.5712350; 4.4564223; 0.2571890
1.0956880; 4.7678519; -4.7027168; -2.9184005; 0.5577995; 4.4621672; 0.4944060
1.1952960; 4.7925928; -4.7992915; -2.8634074; 0.5455346; 4.4731901; 0.6829059
1.2949039; 4.8225177; -4.8942877; -2.8096141; 0.5348295; 4.4883711; 0.8216182
1.3945119; 4.8574204; -4.9874573; -2.7568523; 0.5259971; 4.5065680; 0.9101737
1.4941199; 4.8971203; -5.0786069; -2.7049101; 0.5179429; 4.5266407; 0.9761983
1.5937279; 4.9416493; -5.1679859; -2.6541901; 0.4978631; 4.5480711; 1.2869214
1.6933359; 4.9904990; -5.2549286; -2.6055107; 0.4784504; 4.5761693; 1.5606683
1.7929439; 5.0433723; -5.3393374; -2.5587734; 0.4601680; 4.6100147; 1.7942201
1.8925519; 5.0999723; -5.4211149; -2.5138523; 0.4433784; 4.6486206; 1.9853888
1.9921599; 5.1600924; -5.5002776; -2.4705381; 0.4283418; 4.6909694; 2.1329753
2.0917679; 5.2238718; -5.5772063; -2.4284540; 0.4138314; 4.7360445; 2.2679110
2.1913759; 5.2906392; -5.6512853; -2.3879082; 0.3992536; 4.7835051; 2.4054479
2.2909839; 5.3601788; -5.7225254; -2.3488762; 0.3848887; 4.8333348; 2.5400960
2.3905919; 5.4322748; -5.7909374; -2.3113166; 0.3709700; 4.8854020; 2.6673828
2.4901999; 5.5068625; -5.8566602; -2.2750886; 0.3586984; 4.9394876; 2.7590070
2.5898079; 5.5840249; -5.9198996; -2.2397750; 0.3491350; 4.9948149; 2.7894208
2.6894159; 5.6632390; -5.9803372; -2.2054739; 0.3393183; 5.0501360; 2.8346280
2.7890239; 5.7443761; -6.0380112; -2.1721880; 0.3293950; 5.1057396; 2.8903768
2.8886319; 5.8273073; -6.0929601; -2.1399103; 0.3194949; 5.1618200; 2.9529429
2.9882399; 5.9119416; -6.1452439; -2.1085659; 0.3119383; 5.2184921; 2.9589806
3.0878479; 5.9981930; -6.1948946; -2.0777501; 0.3072763; 5.2746693; 2.8929872
3.1874559; 6.0859424; -6.2418953; -2.0474025; 0.3024034; 5.3290210; 2.8427210
3.2870639; 6.1751221; -6.2862603; -2.0175297; 0.2973746; 5.3818938; 2.8057663
