# 1a944331-55a3-4b3a-92a4-59492a7c6764
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1107361; 8.1847205; 0.9635586; 0.0040182; 10.2609254; 3.1886379
0.0998441; 5.0287333; 8.2416723; 0.9639750; 0.0043239; 10.2919057; 3.1758692
0.1996882; 4.9467027; 8.2985909; 0.9644220; 0.0046299; 10.3226696; 3.1631516
0.2995323; 4.8646441; 8.3554728; 0.9648996; 0.0049361; 10.3532193; 3.1504849
0.3993763; 4.7825570; 8.4123145; 0.9654077; 0.0052426; 10.3835574; 3.1378690
0.4992204; 4.7004411; 8.4691126; 0.9659465; 0.0055495; 10.4136862; 3.1253036
0.5990645; 4.6182884; 8.5258641; 0.9666364; 0.0082860; 10.4436079; 3.1127885
0.6989086; 4.5360909; 8.5825461; 0.9676012; 0.0110401; 10.4733249; 3.1003235
0.7987527; 4.4538329; 8.6391361; 0.9688410; 0.0137944; 10.5028392; 3.0879085
0.8985968; 4.3714990; 8.6956115; 0.9703557; 0.0165488; 10.5321532; 3.0755431
0.9984409; 4.2890733; 8.7519497; 0.9721454; 0.0193033; 10.5612689; 3.0632273
1.0982850; 4.2065344; 8.8081342; 0.9741619; 0.0210740; 10.5901884; 3.0509608
1.1981290; 4.1238785; 8.8641442; 0.9763538; 0.0228313; 10.6189138; 3.0387434
1.2979731; 4.0410964; 8.9199647; 0.9787211; 0.0245887; 10.6474472; 3.0265749
1.3978172; 3.9581786; 8.9755812; 0.9812638; 0.0263462; 10.6757905; 3.0144551
1.4976613; 3.8751156; 9.0309787; 0.9839820; 0.0281037; 10.7039457; 3.0023839
1.5975054; 3.7918968; 9.0861470; 0.9867853; 0.0280123; 10.7319148; 2.9903611
1.6973495; 3.7085244; 9.1410822; 0.9895757; 0.0278830; 10.7596996; 2.9783863
1.7971936; 3.6249995; 9.1957849; 0.9923532; 0.0277537; 10.7873019; 2.9664596
1.8970376; 3.5413233; 9.2502559; 0.9951177; 0.0276244; 10.8147238; 2.9545805
1.9968817; 3.4574970; 9.3044960; 0.9978694; 0.0274950; 10.8419668; 2.9427491
2.0967258; 3.3735237; 9.3585054; 1.0005945; 0.0270857; 10.8690329; 2.9309650
2.1965699; 3.2894041; 9.4122878; 1.0032780; 0.0266688; 10.8959238; 2.9192281
2.2964140; 3.2051410; 9.4658465; 1.0059199; 0.0262520; 10.9226412; 2.9075383
2.3962581; 3.1207370; 9.5191845; 1.0085203; 0.0258352; 10.9491868; 2.8958952
2.4961022; 3.0361948; 9.5723053; 1.0110790; 0.0254186; 10.9755623; 2.8842988
2.5959463; 2.9515216; 9.6252092; 1.0135944; 0.0249684; 11.0017694; 2.8727488
2.6957903; 2.8667158; 9.6779023; 1.0160648; 0.0245171; 11.0278095; 2.8612450
2.7956344; 2.7817803; 9.7303884; 1.0184902; 0.0240660; 11.0536844; 2.8497873
2.8954785; 2.6967179; 9.7826709; 1.0208705; 0.0236151; 11.0793957; 2.8383755
2.9953226; 2.6115314; 9.8347533; 1.0232059; 0.0231643; 11.1049448; 2.8270094
3.0951667; 2.5262284; 9.8866362; 1.0254977; 0.0227462; 11.1303333; 2.8156888
3.1950108; 2.4408070; 9.9383257; 1.0277480; 0.0223296; 11.1555627; 2.8044135
3.2948549; 2.3552697; 9.9898252; 1.0299567; 0.0219132; 11.1806345; 2.7931834
3.3946989; 2.2696189; 10.0411380; 1.0321238; 0.0214970; 11.2055501; 2.7819983
3.4945430; 2.1838574; 10.0922673; 1.0342494; 0.0210810; 11.2303110; 2.7708579
3.5943871; 2.0979912; 10.1432144; 1.0363345; 0.0206869; 11.2549186; 2.7597622
3.6942312; 2.0120195; 10.1939843; 1.0383804; 0.0202941; 11.2793743; 2.7487109
3.7940753; 1.9259444; 10.2445802; 1.0403870; 0.0199015; 11.3036795; 2.7377038
3.8939194; 1.8397686; 10.2950053; 1.0423545; 0.0195090; 11.3278355; 2.7267409
3.9937635; 1.7534943; 10.3452626; 1.0442828; 0.0191168; 11.3518436; 2.7158218
4.0936075; 1.6671254; 10.3953547; 1.0461667; 0.0186159; 11.3757053; 2.7049464
4.1934516; 1.5806633; 10.4452862; 1.0480001; 0.0181091; 11.3994218; 2.6941146
4.2932957; 1.4941111; 10.4950614; 1.0497829; 0.0176024; 11.4229944; 2.6833262
4.3931398; 1.4074715; 10.5446844; 1.0515151; 0.0170958; 11.4464243; 2.6725810
4.4929839; 1.3207474; 10.5941593; 1.0531968; 0.0165895; 11.4697128; 2.6618788
4.5928280; 1.2339406; 10.6434909; 1.0548320; 0.0161711; 11.4928611; 2.6512194
4.6926721; 1.1470546; 10.6926822; 1.0564260; 0.0157584; 11.5158705; 2.6406028
4.7925162; 1.0600916; 10.7417364; 1.0579788; 0.0153458; 11.5387422; 2.6300286
4.8923602; 0.9730542; 10.7906571; 1.0594903; 0.0149333; 11.5614773; 2.6194968
4.9922043; 0.8859445; 10.8394475; 1.0609607; 0.0145209; 11.5840770; 2.6090072
5.0920484; 0.7987617; 10.8881131; 1.0623896; 0.0140996; 11.6065425; 2.5985596
5.1918925; 0.7115110; 10.9366555; 1.0637763; 0.0136776; 11.6288748; 2.5881538
5.2917366; 0.6241949; 10.9850783; 1.0651209; 0.0132557; 11.6510752; 2.5777897
5.3915807; 0.5368157; 11.0333850; 1.0664233; 0.0128338; 11.6731447; 2.5674671
5.4914248; 0.4493755; 11.0815792; 1.0676836; 0.0124119; 11.6950844; 2.5571858
5.5912688; 0.3618725; 11.1296668; 1.0689004; 0.0119589; 11.7168955; 2.5469457
5.6911129; 0.2743127; 11.1776496; 1.0700717; 0.0115035; 11.7385789; 2.5367466
5.7909570; 0.1866988; 11.2255313; 1.0711975; 0.0110480; 11.7601358; 2.5265884
5.8908011; 0.0990330; 11.2733158; 1.0722778; 0.0105925; 11.7815671; -8.5061954
5.9906452; 0.0113177; 11.3210070; 1.0733127; 0.0101371; 11.7092586; -13.3596444
6.0904893; -0.0764488; 11.3686109; 1.0743077; 0.0098045; 11.5947822; -13.3778984
6.1903334; -0.1642613; 11.4161285; 1.0752705; 0.0094824; 11.4790054; -13.3929464
6.2901775; -0.2521181; 11.4635626; 1.0762012; 0.0091604; 11.3619167; -13.4062505
6.3900215; -0.3400178; 11.5109161; 1.0770997; 0.0088382; 11.2434907; -13.4178103
6.4898656; -0.4279589; 11.5581918; 1.0779661; 0.0085160; 11.1237001; -13.4276867
6.5897097; -0.5159399; 11.6053929; 1.0787903; 0.0079740; 11.0025158; -13.4623718
6.6895538; -0.6039587; 11.6525241; 1.0795583; 0.0074111; 10.8796635; -13.4965227
6.7893979; -0.6920127; 11.6995904; 1.0802701; 0.0068481; 10.7550910; -13.5275673
6.8892420; -0.7800998; 11.7465969; 1.0809258; 0.0062850; 10.6287669; -13.5554992
6.9890861; -0.8682174; 11.7935487; 1.0815252; 0.0057219; 10.5006578; -13.5806790
7.0889301; -0.9563567; 11.8404493; 1.0820145; 0.0039701; 10.3707238; -13.7302904
7.1887742; -1.0445156; 11.8873154; 1.0823174; 0.0020972; 10.2376822; -13.8825032
7.2886183; -1.1326859; 11.9341640; 1.0824333; 0.0002245; 10.1013843; -13.8272424
7.3884624; -1.2208589; 11.9810114; 1.0823622; -0.0016479; 9.9637758; -13.5964782
7.4883065; -1.3090261; 12.0278744; 1.0821042; -0.0035202; 9.8265849; -12.9911769
7.5881506; -1.3971709; 12.0747715; 1.0814743; -0.0095054; 9.6936880; -12.3760794
7.6879947; -1.4852716; 12.1217525; 1.0802039; -0.0159431; 9.5653662; -11.7924828
7.7878388; -1.5732975; 12.1688737; 1.0782906; -0.0223814; 9.4414729; -11.2381765
7.8876828; -1.6612174; 12.2161912; 1.0757345; -0.0288204; 9.3218711; -10.7111309
7.9875269; -1.7490000; 12.2637611; 1.0725355; -0.0352599; 9.2064322; -10.2080306
8.0873710; -1.8366152; 12.3116401; 1.0686928; -0.0417166; 9.0950520; -9.7283039
8.1872151; -1.9240296; 12.3598833; 1.0642052; -0.0481764; 8.9876217; -9.2705244
8.2870592; -2.0112103; 12.4085461; 1.0590726; -0.0546361; 8.8840379; -8.8332611
8.3869033; -2.0981249; 12.4576840; 1.0532952; -0.0610935; 8.7842036; -8.4152389
8.4867474; -2.1847406; 12.5073526; 1.0468731; -0.0675452; 8.6880267; -8.1716060
8.5865914; -2.2710146; 12.5575983; 1.0399006; -0.0718936; 8.5936043; -7.9584516
8.6864355; -2.3569282; 12.6084633; 1.0325185; -0.0759835; 8.5006368; -7.7552987
8.7862796; -2.4424556; 12.6599800; 1.0247274; -0.0800813; 8.4090538; -7.5619434
8.8861237; -2.5275698; 12.7121798; 1.0165267; -0.0841852; 8.3187832; -7.3782403
8.9859678; -2.6122437; 12.7650941; 1.0079159; -0.0882927; 8.2297514; -7.2103815
9.0858119; -2.6964678; 12.8187655; 0.9988972; -0.0923071; 8.1418044; -7.0497491
9.1856560; -2.7801912; 12.8732096; 0.9894770; -0.0963506; 8.0548884; -6.8951807
9.2855000; -2.8633746; 12.9284486; 0.9796523; -0.1004388; 7.9689612; -6.7466188
9.3853441; -2.9459809; 12.9845061; 0.9694194; -0.1045712; 7.8839788; -6.6040589
9.4851882; -3.0279734; 13.0414061; 0.9587750; -0.1087465; 7.7998955; -6.4706277
9.5850323; -3.1094570; 13.0992740; 0.9476987; -0.1129119; 7.7166224; -6.3413877
9.6848764; -3.1902652; 13.1580452; 0.9362056; -0.1171471; 7.6341314; -6.2157999
9.7847205; -3.2703333; 13.2177230; 0.9242923; -0.1214617; 7.5523996; -6.0939762
9.8845646; -3.3496172; 13.2783256; 0.9119526; -0.1258548; 7.4714018; -5.9760795
9.9844087; -3.4280733; 13.3398712; 0.8991807; -0.1303241; 7.3911090; -5.8522209
10.0842527; -3.5059595; 13.4026247; 0.8859109; -0.1350515; 7.3116259; -5.7289171
10.1840968; -3.5829576; 13.4663966; 0.8721662; -0.1399231; 7.2329715; -5.6076020
10.2839409; -3.6589719; 13.5311667; 0.8579442; -0.1449145; 7.1551453; -5.4885165
10.3837850; -3.7339498; 13.5969492; 0.8432358; -0.1500229; 7.0781433; -5.3719624
10.4836291; -3.8078388; 13.6637580; 0.8280322; -0.1552440; 7.0019565; -5.3494462
10.5834732; -3.8810588; 13.7320515; 0.8123061; -0.1587246; 6.9252562; -5.3354163
10.6833173; -3.9531232; 13.8014405; 0.7962559; -0.1621744; 6.8479015; -5.3204711
10.7831613; -4.0239317; 13.8718677; 0.7798802; -0.1657951; 6.7698833; -5.3051477
10.8830054; -4.0934358; 13.9433233; 0.7631656; -0.1695858; 6.6911841; -5.2900238
10.9828495; -4.1615868; 14.0157975; 0.7460988; -0.1735451; 6.6117765; -5.2892283
11.0826936; -4.2289505; 14.0899668; 0.7285481; -0.1767557; 6.5314158; -5.3140990
11.1825377; -4.2948779; 14.1651871; 0.7107088; -0.1799493; 6.4496690; -5.3472613
11.2823818; -4.3593164; 14.2414318; 0.6925850; -0.1831473; 6.3663526; -5.3880677
11.3822259; -4.4222360; 14.3186991; 0.6741760; -0.1863393; 6.2812826; -5.4377840
11.4820700; -4.4836381; 14.3970274; 0.6554703; -0.1899145; 6.1942433; -5.3440473
11.5819140; -4.5438329; 14.4768991; 0.6360463; -0.1984900; 6.1074960; -5.2235318
11.6817581; -4.6023575; 14.5578467; 0.6157956; -0.2069471; 6.0214973; -5.1228628
11.7816022; -4.6591446; 14.6399100; 0.5947279; -0.2152301; 5.9359460; -5.0439807
11.8814463; -4.7141269; 14.7231286; 0.5728565; -0.2232781; 5.8504898; -4.9530499
11.9812904; -4.7672338; 14.8075364; 0.5501895; -0.2320609; 5.7653418; -4.7535316
12.0811345; -4.8183706; 14.8931536; 0.5264274; -0.2444722; 5.6824239; -4.5707910
12.1809786; -4.8674259; 14.9800301; 0.5014188; -0.2568243; 5.6015363; -4.4072069
12.2808226; -4.9142696; 15.0681936; 0.4751672; -0.2690208; 5.5224217; -4.2656922
12.3806667; -4.9587715; 15.1576719; 0.4476831; -0.2809481; 5.4447529; -4.1253153
12.4805108; -5.0007100; 15.2482876; 0.4190369; -0.2932755; 5.3685712; -3.9518190
12.5803549; -5.0398835; 15.3398670; 0.3891353; -0.3071560; 5.2945657; -3.7816249
12.6801990; -5.0762880; 15.4327386; 0.3577889; -0.3213436; 5.2227655; -3.6179229
12.7800431; -5.1097427; 15.5268644; 0.3249704; -0.3357053; 5.1531372; -3.4646704
12.8798872; -5.1400666; 15.6222066; 0.2906622; -0.3500747; 5.0855648; -3.3428881
12.9797313; -5.1669822; 15.7183554; 0.2550129; -0.3636519; 5.0195054; -3.2371565
13.0795753; -5.1903344; 15.8151699; 0.2181349; -0.3770065; 4.9546960; -3.1261169
13.1794194; -5.2100645; 15.9129536; 0.1798325; -0.3909613; 4.8912947; -3.0146890
13.2792635; -5.2259888; 16.0115906; 0.1400525; -0.4053127; 4.8293650; -2.9087165
13.3791076; -5.2379234; 16.1109647; 0.0987568; -0.4198121; 4.7688500; -2.7825314
13.4789517; -5.2456605; 16.2105398; 0.0560737; -0.4355113; 4.7102326; -2.6022776
13.5787958; -5.2490562; 16.3101792; 0.0117546; -0.4537949; 4.6547446; -2.3850760
13.6786399; -5.2479361; 16.4099899; -0.0345313; -0.4737936; 4.6033005; -2.1349724
13.7784839; -5.2420901; 16.5097199; -0.0829262; -0.4951549; 4.5567584; -1.8572727
13.8783280; -5.2313082; 16.6091173; -0.1335450; -0.5174125; 4.5158799; -1.7407813
13.9781721; -5.2154243; 16.7077208; -0.1861184; -0.5318486; 4.4772266; -1.7107611
14.0780162; -5.1943430; 16.8052755; -0.2397039; -0.5422454; 4.4389120; -1.6313435
14.1778603; -5.1680010; 16.9015857; -0.2944761; -0.5551221; 4.4020654; -1.5054041
14.2777044; -5.1363583; 16.9962966; -0.3506506; -0.5701548; 4.3677875; -1.3367993
14.3775485; -5.0993750; 17.0890537; -0.4084181; -0.5869246; 4.3371217; -1.2624319
14.4773925; -5.0570262; 17.1794808; -0.4677365; -0.5986320; 4.3079615; -1.2260153
14.5772366; -5.0093515; 17.2672118; -0.5279796; -0.6083550; 4.2794522; -1.1352100
14.6770807; -4.9564436; 17.3518742; -0.5893220; -0.6207488; 4.2528841; -0.9919058
14.7769248; -4.8984035; 17.4330799; -0.6520071; -0.6354106; 4.2295333; -0.7994898
14.8767689; -4.8353323; 17.5104410; -0.7162471; -0.6518048; 4.2106179; -0.7511008
14.9766130; -4.7673657; 17.5835426; -0.7819030; -0.6599475; 4.1927696; -0.7499970
15.0764571; -4.6947183; 17.6520224; -0.8480218; -0.6650136; 4.1748714; -0.6954784
15.1763012; -4.6176772; 17.7155343; -0.9148435; -0.6738465; 4.1582055; -0.5575881
15.2761452; -4.5365493; 17.7737123; -0.9827133; -0.6861105; 4.1447954; -0.3431312
15.3759893; -4.4516414; 17.8261903; -1.0519489; -0.7013111; 4.1365214; -0.3431312
15.4758334; -4.3633903; 17.8725628; -1.1216933; -0.6839900; 4.1282309; 0.0014873
15.5756775; -4.2721877; 17.9128174; -1.1879349; -0.6450289; 4.1282669; 0.6652748
15.6755216; -4.1784581; 17.9471673; -1.2504945; -0.6086988; 4.1443256; 1.2009064
15.7753657; -4.0827064; 17.9757869; -1.3096720; -0.5761233; 4.1731573; 1.6174369
15.8752098; -3.9854377; 17.9988504; -1.3658288; -0.5480460; 4.2116772; 1.9229245
15.9750538; -3.8871223; 18.0165380; -1.4193512; -0.5234283; 4.2570189; 2.1509090
16.0748979; -3.7881004; 18.0290549; -1.4703441; -0.4981746; 4.3071709; 2.3859771
16.1747420; -3.6885958; 18.0366334; -1.5187945; -0.4727893; 4.3621294; 2.6221031
16.2745861; -3.5888134; 18.0395099; -1.5647461; -0.4479164; 4.4217390; 2.8503588
16.3744302; -3.4889581; 18.0379205; -1.6082801; -0.4240488; 4.4856391; 3.0642362
16.4742743; -3.3893310; 18.0321076; -1.6495462; -0.4041277; 4.5533340; 3.2055148
16.5741184; -3.2900527; 18.0222855; -1.6889791; -0.3864035; 4.6230892; 3.3128141
16.6739625; -3.1911718; 18.0086354; -1.7266836; -0.3691036; 4.6940903; 3.4251238
16.7738065; -3.0928031; 17.9913403; -1.7627126; -0.3524462; 4.7663865; 3.5373893
16.8736506; -2.9950618; 17.9705833; -1.7971319; -0.3365961; 4.8399189; 3.6455505
16.9734947; -2.8981353; 17.9465675; -1.8299505; -0.3201982; 4.9145486; 3.7819729
17.0733388; -2.8020684; 17.9194781; -1.8610534; -0.3030220; 4.9907919; 3.9528346
17.1731829; -2.7068420; 17.8894880; -1.8904583; -0.2860618; 5.0692542; 4.1336532
17.2730270; -2.6124892; 17.8567827; -1.9181925; -0.2694466; 5.1500271; 4.3216533
17.3728711; -2.5190431; 17.8215475; -1.9442906; -0.2532681; 5.2331408; 4.5148806
17.4727151; -2.4265206; 17.7839613; -1.9687710; -0.2366531; 5.3185835; 4.7327407
17.5725592; -2.3349214; 17.7442035; -1.9915414; -0.2193997; 5.4066998; 4.7137887
17.6724033; -2.2442231; 17.7024523; -2.0125874; -0.2021696; 5.4930584; 4.6949126
17.7722474; -2.1543915; 17.6588815; -2.0319161; -0.1850362; 5.5777423; 4.6761121
17.8720915; -2.0653922; 17.6136648; -2.0495386; -0.1680456; 5.6608280; 4.6573869
17.9719356; -1.9771441; 17.5669519; -2.0654151; -0.1489994; 5.7423862; 4.6387367
18.0717797; -1.8895898; 17.5189260; -2.0792537; -0.1281421; 5.8224823; 4.6201611
18.1716238; -1.8026709; 17.4697915; -2.0910048; -0.1072385; 5.9011771; 4.6016599
18.2714678; -1.7162915; 17.4197342; -2.1006671; -0.0863261; 5.9785273; 4.5832329
18.3713119; -1.6303559; 17.3689398; -2.1082412; -0.0654210; 6.0545855; 4.5648796
18.4711560; -1.5447383; 17.3175738; -2.1138268; -0.0480866; 6.1294011; 4.5465998
18.5710001; -1.4593582; 17.2657899; -2.1179106; -0.0337031; 6.2030203; 4.5283932
18.6708442; -1.3741631; 17.2137253; -2.1205570; -0.0193049; 6.2754862; 4.5102595
18.7706883; -1.2890753; 17.1615008; -2.1217652; -0.0048983; 6.3468396; 4.4921984
18.8705324; -1.2040173; 17.1092373; -2.1215349; 0.0095124; 6.4171186; 4.4742097
18.9703764; -1.1189069; 17.0570487; -2.1200644; 0.0165378; 6.4863594; 4.4562930
19.0702205; -1.0337065; 17.0049956; -2.1183784; 0.0172361; 6.5545959; 4.4384480
