# 8ffd4764-6e94-4872-9901-8d7a35fa55c3
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.7650387; 1.6635233; 3.1306212; 0.8298282; 3.6158056; -1.4126473
0.0099867; 0.7649706; 1.6535399; 3.1389072; 0.8300988; 3.6119018; -1.4319729
0.0199734; 0.7649851; 1.6435555; -3.1359884; 0.8304328; 3.6079403; -1.4508013
0.0299601; 0.7650825; 1.6335709; -3.1276946; 0.8308299; 3.6039223; -1.4691344
0.0399468; 0.7652627; 1.6235868; -3.1193958; 0.8312898; 3.5998489; -1.4869747
0.0499336; 0.7655258; 1.6136038; -3.1110916; 0.8318119; 3.5957214; -1.5043252
0.0599203; 0.7658718; 1.6036227; -3.1027814; 0.8323960; 3.5915408; -1.5211894
0.0699070; 0.7663009; 1.5936442; -3.0944644; 0.8330415; 3.5873085; -1.5375715
0.0798937; 0.7668129; 1.5836690; -3.0861402; 0.8337480; 3.5830255; -1.5534763
0.0898804; 0.7674081; 1.5736977; -3.0778081; 0.8345149; 3.5786930; -1.5689121
0.0998671; 0.7680864; 1.5637313; -3.0694676; 0.8353556; 3.5743121; -1.5839166
0.1098538; 0.7688475; 1.5537758; -3.0611174; 0.8372757; 3.5698838; -1.5852524
0.1198405; 0.7696918; 1.5438265; -3.0527473; 0.8392676; 3.5654464; -1.5856101
0.1298272; 0.7706195; 1.5338841; -3.0443564; 0.8413298; 3.5610023; -1.5846444
0.1398140; 0.7716308; 1.5239493; -3.0359442; 0.8434612; 3.5565555; -1.5829307
0.1498007; 0.7727257; 1.5140230; -3.0275100; 0.8456603; 3.5521079; -1.5804814
0.1597874; 0.7739045; 1.5041058; -3.0190531; 0.8479256; 3.5476616; -1.5773092
0.1697741; 0.7751673; 1.4941985; -3.0105729; 0.8502558; 3.5432187; -1.5734273
0.1797608; 0.7765142; 1.4843019; -3.0020687; 0.8526492; 3.5387811; -1.5688500
0.1897475; 0.7779455; 1.4744167; -2.9935400; 0.8551042; 3.5343509; -1.5638505
0.1997342; 0.7794611; 1.4645438; -2.9849862; 0.8575987; 3.5299293; -1.5637499
0.2097209; 0.7810608; 1.4546874; -2.9764146; 0.8592278; 3.5255025; -1.5696745
0.2197077; 0.7827450; 1.4448446; -2.9678261; 0.8609348; 3.5210532; -1.5748335
0.2296944; 0.7845138; 1.4350164; -2.9592198; 0.8627186; 3.5165837; -1.5792360
0.2396811; 0.7863673; 1.4252035; -2.9505951; 0.8645782; 3.5120960; -1.5828917
0.2496678; 0.7883055; 1.4154067; -2.9419512; 0.8665121; 3.5075921; -1.5858109
0.2596545; 0.7903285; 1.4056269; -2.9332874; 0.8685191; 3.5030741; -1.5880046
0.2696412; 0.7924362; 1.3958647; -2.9246031; 0.8705979; 3.4985441; -1.5894842
0.2796279; 0.7946288; 1.3861210; -2.9158974; 0.8727470; 3.4940039; -1.5902620
