# 3287e641-9c9d-413a-aced-8098c29d391d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.3383124; 11.1240111; 0.7515326; -0.2983757; 5.0889159; -4.5552365
0.0999181; -2.4053890; 11.1980197; 0.7207486; -0.3180018; 4.9986762; -4.3433502
0.1998363; -2.4701045; 11.2741492; 0.6879960; -0.3375091; 4.9110900; -4.0706762
0.2997544; -2.5322028; 11.3524023; 0.6532244; -0.3602899; 4.8275600; -3.7260778
0.3996726; -2.5914423; 11.4328389; 0.6159112; -0.3867935; 4.7498137; -3.3897945
0.4995907; -2.6475674; 11.5155620; 0.5758999; -0.4135131; 4.6779618; -3.1392306
0.5995089; -2.7001860; 11.6004556; 0.5334390; -0.4369133; 4.6104223; -2.8680661
0.6994270; -2.7490727; 11.6876074; 0.4885526; -0.4615755; 4.5478402; -2.7767609
0.7993452; -2.7938915; 11.7769178; 0.4414023; -0.4782838; 4.4864187; -2.7732358
0.8992633; -2.8343886; 11.8682570; 0.3930653; -0.4894711; 4.4242242; -2.8085014
0.9991815; -2.8703687; 11.9614625; 0.3435342; -0.5016868; 4.3603347; -2.8266849
1.0990996; -2.9016518; 12.0563830; 0.2930805; -0.5081619; 4.2950722; -2.9800083
1.1990178; -2.9280622; 12.1527221; 0.2419159; -0.5163896; 4.2251782; -3.1264498
1.2989359; -2.9494711; 12.2503142; 0.1897974; -0.5275930; 4.1505846; -3.2444838
1.3988541; -2.9657060; 12.3488959; 0.1364161; -0.5410542; 4.0717302; -3.3513303
1.4987722; -2.9765862; 12.4481732; 0.0816540; -0.5570335; 3.9886426; -3.3318265
1.5986904; -2.9819085; 12.5479188; 0.0244361; -0.5887025; 3.9042861; -3.2222258
1.6986085; -2.9813574; 12.6478211; -0.0360120; -0.6212901; 3.8209334; -3.0281665
1.7985267; -2.9746097; 12.7474516; -0.0999071; -0.6611554; 3.7409083; -2.7493020
1.8984448; -2.9612952; 12.8464403; -0.1682808; -0.7080943; 3.6667403; -2.4316238
1.9983630; -2.9409959; 12.9443235; -0.2415046; -0.7584078; 3.5998691; -1.8164078
2.0982811; -2.9133451; 13.0402961; -0.3206920; -0.8285270; 3.5490947; -1.0119400
2.1981993; -2.8778370; 13.1336767; -0.4073456; -0.9066270; 3.5204902; -0.6837411
2.2981174; -2.8340159; 13.2235389; -0.5006123; -0.9432860; 3.5010305; -0.4539220
2.3980356; -2.7819369; 13.3088401; -0.5960712; -0.9690588; 3.4880517; -0.2430069
2.4979537; -2.7219435; 13.3885716; -0.6946111; -0.9902671; 3.4810836; -0.2430069
2.5978719; -2.6542987; 13.4622630; -0.7891661; -0.9000054; 3.4741015; 0.8954584
2.6977900; -2.5804792; 13.5294154; -0.8747560; -0.8164060; 3.4997609; 1.7547713
2.7977082; -2.5013341; 13.5903786; -0.9532942; -0.7627555; 3.5495061; 2.1373943
2.8976263; -2.4178121; 13.6451186; -1.0272177; -0.7170109; 3.6091720; 2.3989095
2.9975445; -2.3306481; 13.6937111; -1.0964802; -0.6729303; 3.6749846; 2.6408992
3.0974626; -2.2403927; 13.7363444; -1.1619553; -0.6388455; 3.7460992; 2.7535005
3.1973808; -2.1474594; 13.7731894; -1.2241782; -0.6061164; 3.8188360; 2.8682463
3.2972989; -2.0526302; 13.8042840; -1.2832613; -0.5788245; 3.8931592; 2.9229931
3.3972171; -1.9560596; 13.8298745; -1.3398385; -0.5539211; 3.9674688; 2.9651759
3.4971352; -1.8581309; 13.8500979; -1.3941066; -0.5339112; 4.0414550; 2.9518969
3.5970534; -1.7594321; 13.8650361; -1.4468997; -0.5241210; 4.1137883; 2.7907975
3.6969715; -1.6598954; 13.8748035; -1.4989417; -0.5168833; 4.1810234; 2.6138309
3.7968897; -1.5600999; 13.8794129; -1.5502021; -0.5089556; 4.2430290; 2.4760927
3.8968078; -1.4601779; 13.8789411; -1.6007272; -0.5026283; 4.3009427; 2.3313754
3.9967260; -1.3603863; 13.8734508; -1.6506198; -0.4898264; 4.3547677; 2.3306378
4.0966441; -1.2610072; 13.8631024; -1.6979483; -0.4576281; 4.4079188; 2.7187683
4.1965623; -1.1622162; 13.8482228; -1.7421178; -0.4267956; 4.4691226; 3.0750583
4.2964804; -1.0641094; 13.8291502; -1.7827588; -0.3839097; 4.5373522; 3.6833829
4.3963986; -0.9668353; 13.8063351; -1.8188331; -0.3382664; 4.6177525; 4.3593158
4.4963167; -0.8704033; 13.7802487; -1.8504648; -0.2988344; 4.7111345; 4.8549174
4.5962349; -0.7747625; 13.7512764; -1.8789501; -0.2711697; 4.8130008; 4.8354617
4.6961530; -0.6799881; 13.7197394; -1.9046436; -0.2432633; 4.9123597; 4.8160840
4.7960712; -0.5859922; 13.6858746; -1.9285299; -0.2389979; 5.0093618; 4.7967840
4.8959893; -0.4928301; 13.6497742; -1.9524443; -0.2396942; 5.1041432; 4.7775613
4.9959075; -0.4005601; 13.6114544; -1.9763649; -0.2367382; 5.1968267; 4.7584156
5.0958256; -0.3092198; 13.5709674; -1.9995226; -0.2268488; 5.2875242; 4.7393467
5.1957438; -0.2188081; 13.5284146; -2.0217051; -0.2171615; 5.3763375; 4.7203542
5.2956619; -0.1293471; 13.4839212; -2.0426676; -0.2015515; 5.4633601; 4.7014378
5.3955801; -0.0407977; 13.4376340; -2.0619766; -0.1849571; 5.5486774; 4.6825972
5.4954982; 0.0468825; 13.3897172; -2.0796503; -0.1694096; 5.6323684; 4.6638321
5.5954164; 0.1337362; 13.3403236; -2.0958840; -0.1555382; 5.7145059; 4.6451422
5.6953345; 0.2198134; 13.2895852; -2.1107341; -0.1417138; 5.7951570; 4.6265272
5.7952527; 0.3051631; 13.2376321; -2.1242405; -0.1287327; 5.8743845; 4.6079868
5.8951708; 0.3898368; 13.1845859; -2.1364609; -0.1158801; 5.9522463; 4.5895207
5.9950890; 0.4738913; 13.1305623; -2.1474016; -0.1032041; 6.0287967; 4.5711286
6.0950071; 0.5573850; 13.0756742; -2.1570923; -0.0907674; 6.1040860; 4.5528102
6.1949253; 0.6403737; 13.0200337; -2.1655405; -0.0783406; 6.1781618; 4.5345652
6.2948434; 0.7229308; 12.9637415; -2.1727284; -0.0654874; 6.2510682; 4.5163933
6.3947616; 0.8051134; 12.9069134; -2.1786272; -0.0525852; 6.3228469; 4.4982943
6.4946797; 0.8869964; 12.8496540; -2.1832478; -0.0402141; 6.3935370; 4.4802677
6.5945979; 0.9686509; 12.7920640; -2.1866850; -0.0285828; 6.4631754; 4.4623135
6.6945160; 1.0501348; 12.7342451; -2.1889595; -0.0169467; 6.5317967; 4.4444311
6.7944342; 1.1315270; 12.6762875; -2.1899763; -0.0032606; 6.5994338; 4.4266205
6.8943523; 1.2128988; 12.6183044; -2.1896105; 0.0105827; 6.6661178; 4.4088812
6.9942705; 1.2943315; 12.5604081; -2.1878329; 0.0257173; 6.7318779; 4.3912130
7.0941886; 1.3759137; 12.5027216; -2.1844263; 0.0424723; 6.7967422; 4.3736156
7.1941068; 1.4577431; 12.4453797; -2.1793455; 0.0592228; 6.8607370; 4.3560887
7.2940249; 1.5398924; 12.3885073; -2.1733175; 0.0607927; 6.9238874; 4.3386320
7.3939431; 1.6223892; 12.3321325; -2.1671983; 0.0616907; 6.9862173; 4.3212453
7.4938612; 1.7052310; 12.2762669; -2.1610408; 0.0603977; 7.0477496; 4.3039283
7.5937794; 1.7884066; 12.2209021; -2.1551938; 0.0566397; 7.1085058; 4.2866807
7.6936975; 1.8718969; 12.1660072; -2.1497220; 0.0528849; 7.1685068; 4.2695022
7.7936157; 1.9556740; 12.1115582; -2.1445559; 0.0505450; 7.2277722; 4.2523926
7.8935338; 2.0397270; 12.0575318; -2.1396212; 0.0482305; 7.2863210; 4.2353515
7.9934520; 2.1240392; 12.0039113; -2.1349123; 0.0461305; 7.3441712; 4.2183787
8.0933701; 2.2085972; 11.9506804; -2.1303972; 0.0442465; 7.4013401; 4.2014739
8.1932883; 2.2933905; 11.8978234; -2.1260702; 0.0423650; 7.4578444; 4.1846368
8.2932064; 2.3784062; 11.8453262; -2.1219284; 0.0405387; 7.5136998; 4.1678673
8.3931246; 2.4636339; 11.7931737; -2.1179690; 0.0387136; 7.5689217; 4.1511649
8.4930427; 2.5490629; 11.7413512; -2.1141946; 0.0367876; 7.6235247; 4.1345295
8.5929609; 2.6346818; 11.6898430; -2.1106197; 0.0347694; 7.6775230; 4.1179607
8.6928790; 2.7204783; 11.6386331; -2.1072464; 0.0327583; 7.7309299; 4.1014584
8.7927972; 2.8064437; 11.5877035; -2.1040652; 0.0309177; 7.7837585; 4.0850221
8.8927153; 2.8925646; 11.5370406; -2.1010679; 0.0290776; 7.8360215; 4.0686518
8.9926335; 2.9788330; 11.4866276; -2.0982551; 0.0272121; 7.8877308; 4.0523470
9.0925516; 3.0652383; 11.4364494; -2.0956304; 0.0253255; 7.9388981; 4.0361076
9.1924698; 3.1517686; 11.3864910; -2.0931942; 0.0234314; 7.9895346; 4.0199332
9.2923879; 3.2384182; 11.3367335; -2.0909532; 0.0214238; 8.0396513; 4.0038237
9.3923061; 3.3251721; 11.2871629; -2.0889129; 0.0194160; 8.0892584; 3.9877787
9.4922242; 3.4120229; 11.2377601; -2.0870736; 0.0173963; 8.1383662; 0.2309996
9.5921424; 3.4989595; 11.1885083; -2.0854367; 0.0153676; 8.1412018; -12.3106822
9.6920605; 3.5859700; 11.1393910; -2.0840024; 0.0133854; 7.9886823; -12.4256497
9.7919787; 3.6730492; 11.0903892; -2.0827402; 0.0118784; 7.8317271; -12.5015402
9.8918968; 3.7601842; 11.0414919; -2.0816286; 0.0103711; 7.6705729; -12.5698097
9.9918150; 3.8473705; 10.9926847; -2.0806682; 0.0088463; 7.5050506; -12.6313740
10.0917331; 3.9346000; 10.9439544; -2.0798611; 0.0073098; 7.3349558; -12.6857660
10.1916513; 4.0218644; 10.8952883; -2.0792082; 0.0056494; 7.1600629; -12.7387047
10.2915694; 4.1091561; 10.8466701; -2.0787733; 0.0030556; 6.9800319; -12.8284100
