# 837c649f-906c-46d7-b702-f8424c9aedc3
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -9.7490007; -0.9404246; 2.3242081; -0.0789128; 7.0115752; 4.3141273
0.0998647; -9.8221055; -1.0084585; 2.3163685; -0.0780924; 7.0727536; 4.2968480
0.1997294; -9.8957391; -1.0759195; 2.3085870; -0.0777495; 7.1331656; 4.2796380
0.2995941; -9.9698924; -1.1428090; 2.3009248; -0.0757025; 7.1928312; 4.2624969
0.3994588; -10.0445424; -1.2091436; 2.2937758; -0.0674732; 7.2517699; 4.2454245
0.4993235; -10.1196356; -1.2749762; 2.2875459; -0.0572922; 7.3100001; 4.2284204
0.5991881; -10.1951041; -1.3403784; 2.2823433; -0.0469024; 7.3675397; 4.2114845
0.6990528; -10.2708779; -1.4054267; 2.2781876; -0.0363235; 7.4244056; 4.1946163
0.7989175; -10.3468869; -1.4701999; 2.2751001; -0.0255104; 7.4806141; 2.9149806
0.8987822; -10.4230604; -1.5347797; 2.2731053; -0.0144397; 7.5194278; -12.3180883
0.9986469; -10.4993267; -1.5992499; 2.2722312; -0.0030656; 7.3540132; -12.5938372
1.0985116; -10.5756125; -1.6636971; 2.2725044; 0.0085374; 7.1809575; -12.3549388
1.1983763; -10.6518511; -1.7282001; 2.2735713; 0.0128244; 7.0070327; -12.3552326
1.2982410; -10.7280341; -1.7927687; 2.2738094; -0.0080726; 6.8286751; -11.3450819
1.3981057; -10.8042753; -1.8572685; 2.2716682; -0.0348156; 6.6606950; -10.2644218
1.4979704; -10.8807398; -1.9215034; 2.2668804; -0.0610694; 6.5049789; -9.2852191
1.5978350; -10.9575943; -1.9852710; 2.2594795; -0.0871510; 6.3608349; -8.3774614
1.6976997; -11.0350009; -2.0483668; 2.2494633; -0.1134492; 6.2279206; -7.5400203
1.7975644; -11.1131171; -2.1105816; 2.2368240; -0.1396848; 6.1058195; -6.7536639
1.8974291; -11.1920935; -2.1717003; 2.2215578; -0.1660603; 5.9943412; -6.0099887
1.9972938; -11.2720722; -2.2315007; 2.2036537; -0.1925185; 5.8933653; -5.3029317
2.0971585; -11.3531855; -2.2897524; 2.1831092; -0.2189412; 5.8028100; -4.5542365
2.1970232; -11.4355542; -2.3462138; 2.1598289; -0.2473149; 5.7238963; -3.8698603
2.2968879; -11.5192903; -2.4006258; 2.1337899; -0.2741993; 5.6559760; -3.1902055
2.3967526; -11.6044841; -2.4527246; 2.1050685; -0.3010418; 5.5993648; -2.4797500
2.4966173; -11.6912054; -2.5022379; 2.0736324; -0.3285755; 5.5549624; -1.7406484
2.5964819; -11.7795037; -2.5488790; 2.0394369; -0.3563160; 5.5235811; -0.9681991
2.6963466; -11.8694045; -2.5923493; 2.0024762; -0.3839403; 5.5060486; -0.6055273
2.7962113; -11.9608955; -2.6323630; 1.9634617; -0.3974085; 5.4950550; -0.6055273
2.8960760; -12.0538752; -2.6687846; 1.9253398; -0.3661398; 5.4840394; 0.3853593
2.9959407; -12.1481223; -2.7017912; 1.8905840; -0.3299914; 5.4910523; 1.4455690
3.0958054; -12.2434066; -2.7316754; 1.8594458; -0.2936820; 5.5172799; 2.4497746
3.1956701; -12.3395273; -2.7587518; 1.8318892; -0.2582501; 5.5614449; 3.3921613
3.2955348; -12.4363151; -2.7833403; 1.8078527; -0.2231744; 5.6220267; 4.3122521
3.3953995; -12.5336277; -2.8057650; 1.7872846; -0.1887805; 5.6981109; 4.6488944
3.4952642; -12.6313463; -2.8263515; 1.7701511; -0.1543754; 5.7790127; 4.6302743
3.5951288; -12.7293711; -2.8454290; 1.7564431; -0.1201695; 5.8584802; 4.6117288
3.6949935; -12.8276180; -2.8633294; 1.7461690; -0.0855910; 5.9365721; 4.5932576
3.7948582; -12.9260149; -2.8803876; 1.7392881; -0.0522156; 6.0133432; -0.7777851
3.8947229; -13.0244992; -2.8969344; 1.7358002; -0.0176091; 6.0004125; -12.0880120
3.9945876; -13.1230125; -2.9133083; 1.7357825; 0.0172785; 5.7957414; -10.9913555
4.0944523; -13.2214973; -2.9298521; 1.7392494; 0.0521807; 5.6031529; -10.0155725
4.1943170; -13.3198942; -2.9469094; 1.7462254; 0.0875627; 5.4217080; -9.1543142
4.2941817; -13.4181378; -2.9648269; 1.7567516; 0.1232832; 5.2503840; -8.4489451
4.3940464; -13.5161536; -2.9839494; 1.7707593; 0.1572709; 5.0871436; -7.7334912
4.4939111; -13.6138553; -3.0046155; 1.7883670; 0.1953816; 4.9329935; -7.1409161
4.5937757; -13.7111352; -3.0271814; 1.8097137; 0.2321648; 4.7862484; -6.6038762
4.6936404; -13.8078646; -3.0519979; 1.8347872; 0.2699992; 4.6464164; -6.1348242
4.7935051; -13.9038888; -3.0794132; 1.8636484; 0.3080720; 4.5126357; -5.6737174
4.8933698; -13.9990218; -3.1097731; 1.8964531; 0.3490218; 4.3852791; -5.1843446
4.9932345; -14.0930353; -3.1434361; 1.9335842; 0.3946387; 4.2655840; -4.7387579
5.0930992; -14.1856478; -3.1807777; 1.9753099; 0.4410259; 4.1531600; -4.3569041
5.1929639; -14.2765254; -3.2221588; 2.0216308; 0.4867067; 4.0470404; -4.0271132
5.2928286; -14.3652841; -3.2679045; 2.0724915; 0.5319825; 3.9464165; -3.7427269
5.3926933; -14.4514873; -3.3182970; 2.1278556; 0.5769737; 3.8505416; -3.4888477
5.4925580; -14.5346439; -3.3735686; 2.1877324; 0.6224063; 3.7589687; -3.2613682
5.5924226; -14.6142052; -3.4338972; 2.2521653; 0.6683943; 3.6713014; -3.0274731
5.6922873; -14.6895620; -3.4993980; 2.3213212; 0.7170149; 3.5880049; -2.7940576
5.7921520; -14.7600372; -3.5701207; 2.3954134; 0.7675485; 3.5093765; -2.5013030
5.8920167; -14.8248829; -3.6460341; 2.4748553; 0.8239283; 3.4374613; -2.2117125
