# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.3065,-11.5208,1.6808,1.6808
-1.3065,-11.5708,1.7007,1.7007
-1.2565,-11.6208,1.6771,1.6771
-1.2565,-11.6708,1.7000,1.7000
-1.2065,-11.7208,1.6771,1.6771
-1.2065,-11.7708,1.7000,1.7000
-1.1565,-11.8208,1.6771,1.6771
-1.1565,-11.8708,1.7000,1.7000
-1.1065,-11.9208,1.6808,1.6808
-1.1065,-11.9708,1.7066,1.7066
-1.0565,-12.0208,1.6919,1.6919
-1.0565,-12.0708,1.7205,1.7205
-1.0065,-12.1208,1.7066,1.7066
-1.0065,-12.1708,1.7205,1.7205
-0.9565,-12.2208,1.7205,1.7205
-0.9065,-12.2708,1.7103,1.7103
-0.9065,-12.3208,1.7205,1.7205
-0.8565,-12.3708,1.6867,1.6867
-0.8065,-12.4208,1.6492,1.6492
-0.7565,-12.4708,1.6125,1.6125
-0.7065,-12.5208,1.5700,1.5700
-0.6565,-12.5208,1.5788,1.5788
-0.6065,-12.5708,1.5403,1.5403
-0.5565,-12.6208,1.5033,1.5033
-0.5065,-12.6708,1.4577,1.4577
-0.4565,-12.6708,1.4637,1.4637
-0.4065,-12.7208,1.4221,1.4221
-0.3565,-12.7208,1.4318,1.4318
-0.3065,-12.7708,1.3946,1.3946
-0.2565,-12.7708,1.4000,1.4000
-0.2065,-12.8208,1.3500,1.3500
-0.1565,-12.8208,1.3500,1.3500
-0.1065,-12.8708,1.3000,1.3000
-0.0565,-12.8708,1.3000,1.3000
-0.0065,-12.8708,1.3000,1.3000
0.0435,-12.9208,1.2500,1.2500
0.0935,-12.9208,1.2500,1.2500
0.1435,-12.9208,1.2500,1.2500
0.1935,-12.9708,1.2000,1.2000
0.2435,-12.9708,1.2010,1.2010
0.2935,-12.9708,1.2042,1.2042
0.3435,-13.0208,1.1597,1.1597
0.3935,-13.0208,1.1673,1.1673
0.4435,-13.0208,1.1769,1.1769
0.4935,-13.0708,1.1402,1.1402
0.5435,-13.0708,1.1543,1.1543
0.5935,-13.0708,1.1705,1.1705
0.6435,-13.0708,1.1885,1.1885
0.6935,-13.0708,1.2083,1.2083
0.7435,-13.0708,1.2298,1.2298
0.7935,-13.1208,1.2083,1.2083
0.8435,-13.1208,1.2298,1.2298
0.8935,-13.1208,1.2530,1.2530
0.9435,-13.1208,1.2748,1.2748
0.9935,-13.1208,1.2971,1.2971
1.0435,-13.1208,1.3000,1.3000
1.0935,-13.1208,1.2816,1.2816
1.1435,-13.1208,1.2649,1.2649
1.1935,-13.1708,1.2981,1.2981
1.2435,-13.1708,1.2816,1.2816
1.2935,-13.1708,1.2649,1.2649
1.3435,-13.2208,1.2981,1.2981
