# 4c05f0f4-d843-4b46-b865-ab15811655c3
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.3204739; -10.8354362; -2.8364036; 0.0589560; 7.5396839; 4.1600234
0.0999310; -0.2901714; -10.9306445; -2.8305015; 0.0591856; 7.5946208; 4.1433503
0.1998620; -0.2592981; -11.0256976; -2.8245925; 0.0578083; 7.6489452; 4.1267441
0.2997930; -0.2278867; -11.1205581; -2.8191751; 0.0506273; 7.7026711; 4.1102044
0.3997240; -0.1959932; -11.2152649; -2.8144447; 0.0447966; 7.7558117; 4.0937310
0.4996549; -0.1636757; -11.3098258; -2.8101724; 0.0407054; 7.8083799; 4.0773236
0.5995859; -0.1309766; -11.4042482; -2.8063322; 0.0359077; 7.8603879; 4.0609820
0.6995169; -0.0979331; -11.4985695; -2.8030021; 0.0307354; 7.9118477; 4.0447059
0.7994479; -0.0646071; -11.5927665; -2.8001637; 0.0261668; 7.9627707; 4.0284950
0.8993789; -0.0310257; -11.6869019; -2.7977715; 0.0217039; 8.0131679; 4.0123491
0.9993099; 0.0027494; -11.7809354; -2.7958265; 0.0172307; 8.0630501; 3.9962679
1.0992409; 0.0366947; -11.8749335; -2.7943267; 0.0128272; 8.1124274; 3.9802511
1.1991719; 0.0707556; -11.9688744; -2.7932567; 0.0085904; 8.1613099; 3.9642985
1.2991029; 0.1048996; -12.0627925; -2.7926084; 0.0044123; 8.2097072; 3.9484099
1.3990338; 0.1390859; -12.1566982; -2.7923731; 0.0002971; 8.2576285; 3.9325850
1.4989648; 0.1732718; -12.2505939; -2.7925471; -0.0037633; 8.3050830; 3.9168235
1.5988958; 0.2074286; -12.3445193; -2.7931247; -0.0077944; 8.3520792; 3.9011251
1.6988268; 0.2415044; -12.4384489; -2.7940916; -0.0115259; 8.3986257; 3.8854897
1.7987578; 0.2754803; -12.5324403; -2.7954282; -0.0152507; 8.4447306; 3.8699169
1.8986888; 0.3093050; -12.6264629; -2.7971548; -0.0193087; 8.4904019; 3.8544066
1.9986198; 0.3429534; -12.7205652; -2.7992863; -0.0233094; 8.5356472; 3.8389584
2.0985508; 0.3763799; -12.8147376; -2.8018090; -0.0271789; 8.5804741; 3.8235721
2.1984818; 0.4095518; -12.9090044; -2.8047191; -0.0310779; 8.6248897; 3.8082475
2.2984127; 0.4424308; -13.0033737; -2.8080212; -0.0350093; 8.6689011; 3.7929844
2.3983437; 0.4749787; -13.0978557; -2.8117166; -0.0389535; 8.7125151; 3.7777824
2.4982747; 0.5071595; -13.1924661; -2.8158069; -0.0429069; 8.7557384; 3.7626413
2.5982057; 0.5389334; -13.2872112; -2.8202960; -0.0469468; 8.7985774; 3.7475609
2.6981367; 0.5702626; -13.3821050; -2.8251901; -0.0510054; 8.8410383; 3.7325409
2.7980677; 0.6011081; -13.4771582; -2.8304912; -0.0550887; 8.8831273; 3.7175812
2.8979987; 0.6314292; -13.5723782; -2.8362023; -0.0592876; 8.9248504; 3.7026814
2.9979297; 0.6611858; -13.6677773; -2.8423497; -0.0637462; 8.9662132; 3.6878413
3.0978607; 0.6903342; -13.7633640; -2.8489382; -0.0680103; 9.0072215; 3.6730607
3.1977916; 0.7188315; -13.8591439; -2.8559376; -0.0720795; 9.0478807; 3.6583394
3.2977226; 0.7466392; -13.9551319; -2.8633675; -0.0768150; 9.0881960; 3.6436770
3.3976536; 0.7737064; -14.0513208; -2.8712947; -0.0818491; 9.1281729; 3.5091183
